,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,
World,8795,8812,8865,8900,9032,9249,9477,9601,9717,9726,10016,10177,10253,10670,11182,11542,11877,12073,12311,12210,12783,13104,13293,13486,13714,13796,13756,14080,,
OECD,3445,3475,3500,3497,3615,3677,3777,3808,3821,3797,3840,3884,3866,3838,3869,3850,3875,3865,3874,3814,3898,3875,3909,4000,4162,4180,4100,4201,2016 - 2017 (%) ,2000 - 2017 (%/year) 
G7,2534,2531,2545,2529,2634,2664,2709,2715,2735,2714,2712,2725,2694,2653,2668,2642,2665,2657,2668,2619,2671,2671,2687,2758,2917,2938,2853,2964,2.4,2.0
BRICS,2676,2619,2561,2522,2528,2604,2642,2626,2639,2667,2746,2838,2951,3205,3437,3630,3799,3962,4058,4115,4423,4608,4654,4740,4795,4834,4806,4974,2.4,0.5
Europe,1133,1134,1137,1148,1176,1207,1263,1259,1227,1228,1239,1237,1245,1237,1226,1192,1168,1146,1152,1113,1123,1081,1076,1064,1045,1052,1049,1059,3.9,0.5
European Union,955,945,933,937,953,968,1000,988,960,961,952,953,952,944,939,911,891,868,863,827,844,810,803,798,779,773,762,758,3.5,3.6
CIS,1656,1565,1453,1361,1250,1215,1208,1168,1176,1208,1256,1297,1347,1440,1508,1556,1603,1641,1680,1589,1692,1737,1759,1786,1765,1765,1790,1859,2.7,-0.3
America,2543,2568,2591,2578,2684,2726,2808,2850,2888,2853,2885,2920,2905,2904,2985,3003,3073,3063,3086,3058,3123,3221,3280,3357,3525,3517,3422,3495,-2.1,-0.8
North America,1923,1924,1939,1910,1993,2007,2034,2038,2062,2035,2040,2066,2042,2023,2046,2033,2073,2089,2112,2080,2125,2199,2249,2326,2488,2495,2420,2522,0.3,0.2
Latin America,620,644,652,668,690,719,774,812,826,818,845,854,863,882,939,970,1000,973,974,978,998,1022,1031,1031,1037,1022,1002,973,4.8,1.7
Asia,1668,1713,1740,1789,1872,1993,2049,2069,2081,2103,2182,2250,2323,2499,2719,2915,3091,3229,3310,3461,3712,3876,3899,3996,4053,4055,3986,4129,-7.9,-1.8
Pacific,176,187,192,195,194,207,211,221,236,234,254,269,273,270,271,283,288,305,306,315,343,332,340,365,390,409,416,415,-23.1,-2.0
Africa,679,705,714,726,735,763,791,828,841,852,875,890,898,960,1020,1076,1101,1135,1151,1127,1162,1090,1149,1107,1100,1101,1094,1122,-0.6,3.0
Middle-East,940,940,1038,1103,1121,1138,1147,1205,1268,1247,1325,1315,1261,1360,1452,1518,1552,1554,1625,1548,1629,1768,1792,1811,1836,1898,1999,2002,2.6,1.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.6,1.9,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.2,2.4,,
